rank,address,quantity,allocation
1,0xf74c235e38fb5b27fb13b1751ca63a6c37ab55d7,125,2
2,0xe0df49b36e44cda5679b3f65916467639c434d0d,91,2
3,0xb93eca18ec95330a254a7aaa5e801dbefcb03484,59,2
4,0xa40d281de9c15d501ef21ac32f777a5a551fddd6,53,2
5,0x686adbfcaa75f7491bba9f8d035613671c11b507,39,2
6,0x038b11894253e3e0583267522d364e4ed69c14cb,31,2
7,0x9c3b4b2d4101f2280ef9b1e810d618648b410340,27,2
8,0xd54ad513da5c52dc01224f11b3174296e8d80330,22,2
9,0x9c54a9c609212d2fd034b55cf3b42ba99af52880,17,2
10,0x88ced047bf75de5d03f3fa4ff0d7224e4eb455b2,15,2
11,0x9d5765595a92c560c8759d2a9c375c66123765a5,15,2
12,0xde5c0e4c290e444fcc507d621658a21e720ff0a0,15,2
13,0x239e9e51a7a881221c4cec228e1d093b5a434dc8,13,2
14,0xbc0e7c2eee1ff1c61449fad2d11923a1c0097f2b,11,2
15,0x4c775fcde221a18c82499ca73058e3055373ffb6,10,2
16,0x6de8bdd19cd76b89ea2eb1ab6d9b245433652ef9,10,2
17,0xd7c5f8972c7f309c98f4d6d3e42c30fd6420200b,10,2
18,0xdcdb5546ec50d41383501aa2068879b264475bfb,10,2
19,0xe67c19d9dd8ffa21658599fbfda4b040b99e17fe,10,2
20,0xd6dab4691ee54fd06b3e834c90b78ff5cb633ee8,9,2
21,0xb7ecbf7070e3fbb20ae7ad431933895439f7f32e,8,2
22,0xa864bd675ac40716f5eef63e4bccc7d4fe4d524a,7,2
23,0x019b0ee245fb09aaf92ac93ca3309832b7974681,6,2
24,0x8177598e08ee8199c160a48c7a0af31ab54bb59f,6,2
25,0x8e1f7a6315ab27b351055823a30168524b8c0f31,6,2
26,0x085610b382e4d4eecab01a43ac99b42436af37bf,5,2
27,0x097d611aa2598a2b3882325a53234ce4b2755764,5,2
28,0x251ba2d69b65d89c012d1eb7860d14c4ef73c4bf,5,2
29,0x6e88154ffa558e9bcdd30f29298610bb4aebe114,5,2
30,0xe5350d96fc3161bf5c385843ec5ee24e8b465b2f,5,2
31,0xfbd85f2e389ccc3cdf2006f16cf7813a5a0b3715,5,2
32,0x3c56d7d94121c913c5ff8e428bf9c8287dadece6,4,2
33,0x52df13f32c2085a26ca5e9812c799dd7da4adedd,4,2
34,0x773afe9d9b6d50cc2a14c52c31c2f8635694525b,4,2
35,0x915da37f772f9d87f84a9e521f2354124b17e621,4,2
36,0x01a18b4adbc7a0e19fcfbdf63e85ec6f3c9ce9e7,3,2
37,0x024d66305df2c936851d365000ce67b0a1235ac8,3,2
38,0x040401713eac4ab6178c7ee2cf3f09379cda2ceb,3,2
39,0x064b4dcb3400b2a2af42640e4cd6af3563b387e0,3,2
40,0x06d5e56600c3d6808366bf3f9f142483590f6fd4,3,2
41,0x08b9cc7362d23d0649efc6c873991346aba76b35,3,2
42,0x08cc379f0fc5c45357843027126a1a02aab280f8,3,2
43,0x0a6e4623f761ac8fdd200320f83604887038d508,3,2
44,0x0ba01f88391dcadc429fb8cfb529911a3050ed39,3,2
45,0x0bc13081bed6fbac95a5499e71739f5a57206a75,3,2
46,0x0c6a24e79ea0d1064e02839761ef8e300e00899d,3,2
47,0x0e9e10391e21ca857ba5a21020c3885ca37e419a,3,2
48,0x0f94325dcc0e118fb3454bceff6bcd814ad2b58f,3,2
49,0x0fa9cf0896417e3c14e09037f2b8c65a1f912624,3,2
50,0x0fda6589e2d4baa877f014212d18264d9fa98b49,3,2
51,0x101c309e232636eb41d9b19fa725cfa50f227901,3,2
52,0x11506db6366229bde8727eab7f582e2764080a9e,3,2
53,0x121fded4df77dedca7f7ae13dc2995d64b421e1e,3,2
54,0x143c47841621c7d7cf3336b3e8dce60ca94c6594,3,2
55,0x14fb79b6dc1e2bd1d19d455f444bb8b48dcc0d30,3,2
56,0x168301a2ded533cb1e3badebb8613e6388f65749,3,2
57,0x17a8eafaeae8ce84fba960a3188f514797db696d,3,2
58,0x196aca58bf741cacdca23e32dc753e458649cb06,3,2
59,0x1b83c68b5003dae805a4d536562175e5c71b503d,3,2
60,0x1bbf43e7a5497dfcb19a2be9be54426e8ce7c05d,3,2
61,0x1c75e5232088599f6efab7fbf0dffd86e6348197,3,2
62,0x1e94a39e40525f674f9dfbbec420e8a5ca02a62b,3,2
63,0x1fb1942e4955234536c5571582e93494e13b9419,3,2
64,0x20b7e063734def6cbda15e7930decf9e04c00fb9,3,2
65,0x24880c009be70efe1fac45b01a1a0644be4170b5,3,2
66,0x24ccac28456a1d7d338739c95f0294372d3f08ac,3,2
67,0x254359bd8b27b177181f3176e732a1b2cfc37315,3,2
68,0x2586b8f468d10c00bae57db5f14980c2f10f197d,3,2
69,0x25a6bbd4d8f041b4b14cd703560995a09a74b464,3,2
70,0x272c38539829a48df0b3a4eedb753c9c67c93bee,3,2
71,0x2799c229f63291262f77347ef60c1d2a1835b449,3,2
72,0x2911563c9a2c3bec7a6d0a1f7ebaf0e71418eb25,3,2
73,0x2a15cc826466ada7f4b7d9403282f2c960f15999,3,2
74,0x2df8506532b0efec59498cf09ebd9988e7bd3ec2,3,2
75,0x2f26633a56837cf9aea5f89bce5f65baaf34b43f,3,2
76,0x2f6a26672fb4301d60acf4fba07eded3f9193fb3,3,2
77,0x305692ac5eaf8fa18e5dc2a77738c82d573382cb,3,2
78,0x306fc4a664656d0bf4dae610f3445bb5e20c6e58,3,2
79,0x32cfa8dd263ac912a1f44e91ff054a6e91bc2998,3,2
80,0x33990a86f6ae2153c98959f7fd59a27bf2fbd976,3,2
81,0x355e5ab1780ba3d88ef8feed0b29cb0d825a49a4,3,2
82,0x3ab477c02b3e372306516d98239e4e29193e1484,3,2
83,0x3b2988054731da4682b4a3850b70195b6bdbe6b5,3,2
84,0x3c63f7330b5e87863d78c6288a7ca983c93b7edd,3,2
85,0x3d97ea029c82151ca9caea00cf1342324567219f,3,2
86,0x3daf0d105e386fd4dcdd896935e25cfefefc6af6,3,2
87,0x3dc28134900671b08f29f482ec0d00a78a7a8556,3,2
88,0x3eefc8c815ec1d4a964601f8c13c519541c7dbe1,3,2
89,0x3f6252944f216f766f7d4046ddaa23ef7f8a6c68,3,2
90,0x3f88493af513f36d5351011d83e18770530e5cd4,3,2
91,0x409db4c71027f6b4c75c06b6fd10ed1398f7ef70,3,2
92,0x479eb0d71698a69cc9fe7854dd12d75fe9f796eb,3,2
93,0x4801b6d7501204adc9334045e0c7e8790b90e97c,3,2
94,0x486915e49cce6c879c784bc6fe597611c3eea318,3,2
95,0x48af4211069cc75c5d20236f4dd6499589493d21,3,2
96,0x4a23f42c3b6fb654e1069966dfd401ef31e0c984,3,2
97,0x4aa15d618a8a9f41780a717f13d29f2cb3f2b2ef,3,2
98,0x4ac124e279a32a0d9e7e82986192b59990bfd58e,3,2
99,0x4add1e9ea221029c439229ba299d83b7064d955c,3,2
100,0x4cab7b94b2d928622de8bdf616de4b3959410791,3,2
