rank,address,quantity,allocation
1,0x93886649b07888129fa320eb95756c35cf80d732,242,2
2,0x77ffea617cb5e85f30eaca48d420df7e48b3c633,141,2
3,0x16605a4df923056d10e3d079989d8d9ccc02714f,124,2
4,0x8a8035f056af830b7205c58c1dc037f826fc2b92,117,2
5,0xfd75474fecb0181c863ef8c22e400bf0f5ba3bc6,106,2
6,0x74a1b3ac0161adbc642e3aa05f2e7bb44ea52bb5,101,2
7,0x4b6314d2c8e28f2628901e775f7a5e0be32953f6,100,2
8,0x590c55ddacb5e047b5b531b8300ef04c5431b9c3,100,2
9,0xb49268af705bc1370780b6493c4cde872d89007f,100,2
10,0xab7dbf90b9924dffd235cfafef95f3f534b1ee4e,96,2
11,0x90a480cfa5436676d2226e7a981c3cccb929e420,78,2
12,0x6f33e7b6460dac803c53ab6e02da8c675633d516,69,2
13,0x7a091bcd860fba983e9bf2b1ab1e7bdf0a0b542c,64,2
14,0xc0a33e09f31f6a4bc3e90a92784d0d567ed2978d,64,2
15,0xbc820aa15ac023898048d2088ab5269f295ce384,63,2
16,0xdffc9812fe60596c997511de0087749a25e52c88,63,2
17,0x08567e3e0eb6d42d37f70fcc0c7e59d79e4e07ab,59,2
18,0x7b5b7472e66c6ef21fe60da875011926ca80e232,54,2
19,0xf67cd8a34b1aa96ef179966c4f09914b28d16da7,50,2
20,0x624d4cf1dfb29064c16169c650bbd445faf07fb1,46,2
21,0xdba7960c43d78d632294c873d7475175234cfb25,43,2
22,0x45338bf3dcf0c55a3a6b1404b78e39cbe1f5105b,42,2
23,0x7eee4281ec78f463435d0b2b38770d0a36fbdbfd,42,2
24,0x30e0df600b904188324aed388eed0b1ffbf549bc,41,2
25,0x6393ea33b25528d50df724460c4465187ead1403,41,2
26,0x91c59a9874b97ac46c2f07b400f2dffe4b624443,41,2
27,0x0ce525ef86ec59a86afabd4c0caa4a9263772e43,40,2
28,0x198ca1beacf70b82c4e6de21e8cb7b6da6d8477a,40,2
29,0x46372974607c434ae48884f36e726fe831258307,40,2
30,0x9b25cf4f6b9caa84c877947d4f6c2982c6d607a3,40,2
31,0xe9a11ea9640d0904f5aa0d8f7e704e2d4a1a56a8,40,2
32,0x020edf7b630025d8113a46cac63c41c095fc98f0,37,2
