rank,address,quantity,allocation
1,0xc7c165ba3fcf9244a45977d4809202b1dc803941,145,2
2,0x019b0ee245fb09aaf92ac93ca3309832b7974681,140,2
3,0xff60c38f0343a8b8de07c9770266764c452a368f,112,2
4,0xf6e5044b1188d6a5401aa4591bef57b63e6267a7,100,2
5,0xf478f82889986937bf446f53d6b6a4c54163f90c,98,2
6,0x1b8dc6a4a46e778033758cce1b6b0ddac78e25cf,87,2
7,0x65c3537aefc52d848d31a49fc02573cb40c4202c,86,2
8,0xdae7e11dab7670ff6650471ed493280ba1d32732,85,2
9,0x835b9edf89e7472aad4a2fc4fde8a4e6f05ae9f0,79,2
10,0xaa1fa62b28aff17b659aff7d8a2314f4325a7ac7,70,2
11,0x0a3570924483d24336abb44136ab7816854ad444,66,2
12,0x07478ca73ecdc461cd033d2e6c1b4cefda82d0b9,50,2
13,0x1648c13a8ed3ffb194b2c033497a5e82e543cb82,50,2
14,0x21ee8009897144cb08aa603bce48e9edaae00a1a,50,2
15,0xcba3cde0dbe164518b45e827004089303948e7ca,48,2
16,0x78e1b09db45a76018212afdb724c1402c6ca33e1,42,2
17,0xa017f839dd9be2a5ebc76e58cc34ef7a542fae6d,41,2
18,0xb812d8357bb9e7194c2e3ce0f9a8ade7acd37a31,40,2
19,0x62541dfaf846c8c0171a1755b2c057673d88dac7,39,2
20,0x5131ec1a6b58f1968175ab460915539e1fcd6942,36,2
21,0x49b753c09cb64dbdc53841ab13a04a038d4c9d20,33,2
22,0xe43268837dd101ad625961966922f2cad520763c,33,2
23,0x9b865f2a484ca253b66e77ed2da39d14c005df40,31,2
24,0x0800833a3706db6fbbd846d5d1b9370a79af8097,30,2
25,0x4339bb43e0657de0df6c70424b8601a1bb724b0b,30,2
26,0x8d067b54a1310ac962eb846363ae407de6588d74,30,2
27,0xa22b2f7d80c26d5b4e403d53eb520723858d37e7,30,2
28,0x7575047fc3e8ba808fefcc0932eafdf2d2b58718,27,2
29,0x87c89f5f027b0dc4626e92d92e5964ff8661df84,27,2
30,0xe613c2a8c9b24d67424a877d65ed1d107e93cdef,27,2
31,0x2df5064481d2f6fa0331a6bf16134252cf308b39,26,2
32,0xc1165124be8dc53a3826a1aa1b6643e9138d167c,25,2
33,0xf5771d44fb1899b255e24d050052284fab0a059f,25,2
34,0xf8a9cf19be9cc65da49673c24ae145a24290b42a,25,2
35,0xf06bed3f0dad7932d8d00fe48c36751f5c10be23,24,2
36,0x12ab47c5b38d400d926e1dd7eb976501087e6b3d,23,2
37,0x3be3b9ea712b807c6546471db73242ec7e896c3f,23,2
38,0xa4d5277d9ffe79726e12107b77ca0aef28535d05,22,2
39,0xe380d4d6a40a147354e3797b1ba67930dcad2ddd,22,2
40,0x0166f6b0ac0900d0b7499755bf7038c4cc819b04,21,2
41,0x50f5599518de902bfe491f1bebc4c011399f6146,21,2
42,0x5788858ed0ad70dea5056738b7ffd1810eacb84f,21,2
43,0x7fd48e6ebecc41132d3dd8c014bcaad9e48cdbf6,21,2
44,0x9250512e55f0574aa3fc537fe70a2cf5aea0e15c,21,2
45,0xb51b9a78812b49a0ca6aa6e9a4d591d240a83380,21,2
46,0x11cd53d6776a02c8fb13b3453b7b4fbbb18f90df,20,2
47,0x18a070e9ef5fcfe5be1d03224162c82b3e906fac,20,2
48,0x6fd155b9d52f80e8a73a8a2537268602978486e2,20,2
49,0xb0f840b7e0aa17259f5036081d86f6c07d64930d,20,2
50,0x6911340d182b260f18f960a1a38b3b33356f7941,19,2
51,0xef9351e9d1dfe415ab06d9ee00a832743a386065,19,2
52,0xf6c8a384928acb9d6f92511601a74a41599686a7,19,2
53,0xfa9bfda6a290da65cd99a94a1e16a95ee90327d5,19,2
54,0xadec6fffbfff4f682d253ccc4eb495e11dae9e33,18,2
