rank,address,quantity,allocation
1,0x5227e19097ec0344382d65b1a30ed3bae93a3e10,60,2
2,0x78f2922c22e87e8cb45c4d75cc06bbdd10a641fb,59,2
3,0xbd2895dc008c31ba7b2e9177ebec4e7b048acb86,58,2
4,0xf725c30fb817576eb402cc52243cdfe6d62e167e,49,2
5,0xca50378eee9e4069114eaf301d813494ca190bb5,38,2
6,0xd289bfd219546b74ebbfb1fc096d4c0f53c9004a,37,2
7,0x332460257cef06f02315b2d3e99b086079bbca15,32,2
8,0x90ac4d3e3e21db847bf908892936cfc911e1de61,31,2
9,0xf647053969636aaee93b7afd1b551e1faa0ad708,30,2
10,0x51a250b981a97d563486c564698c741836952043,29,2
11,0x0a534043a34a43a78e5585c8eb95acc8b3eeeed1,28,2
12,0x514d1105c57fbf143ee128ef18aa430facda2151,27,2
13,0x6372f3af08a32f23f891cb4bc77f41384a20e20a,25,2
14,0xc410c8c596f070db1a7d1e4a0711328908e5ff9b,25,2
15,0xdbd47f66aa2f00b3db03397f260ce9728298c495,25,2
16,0xf53a338220f9c34f0d30bd9b999165ea70ab93de,25,2
17,0x5678c23be6989cde5d0fe68d921584b4404a3180,24,2
18,0x17e9e0d951e9a52a697180119b90ce682e24c66f,22,2
19,0x624da72be397d70089a0c712e354893f681a8d0e,21,2
20,0xa2c440c71f874cb92bb4de7a6f7ba920ae0e6468,21,2
21,0xa6c6ce27ea58a45a5d6b13fd132964e3dab15dad,21,2
22,0xd5d013cef20373839635fbce206a1cf0054ec565,20,2
23,0x3225ef561ebfe8d6a10677ac81dc731e1327e6cb,19,2
24,0x7ca858cd1e5a5291408b54318148fd62632edc85,19,2
25,0x8d42388603970610302d608e81b8c06224f0de7f,17,2
26,0x11c8678069c46b74c62a8a94b21784dfb771b8d3,16,2
27,0x34c2871c3d539c473e40a09158bdff522202e2d5,16,2
28,0x539dc849f37ee6f35466401a7ff84bdbd919c5c9,14,2
29,0xbef7d26cf0a27c98f359f59e9eba14e56f8f4087,14,2
30,0xf9ce60e90e94694ceb82579e4b917459b1263a6b,14,2
31,0xc040c7e5ba06e3f1ab5d1f45cc57ad3f997cd0a4,13,2
32,0xcb03fa84cbc6cad51f9b4d8f414a2597760ee676,12,2
33,0xd435b22d96bfe40752e8b01596c1e95b3fef3afa,12,2
34,0xdffc9812fe60596c997511de0087749a25e52c88,12,2
35,0xe0b2add5c2d094008d014369ab6bc5c42cf3acad,12,2
36,0x266ee152cf011964aa4399bb568709199da82063,11,2
37,0x0683b43a526af50e442571a96001005b84ad56dc,10,2
38,0x1d5131e79e9d2cc9d4b03e63eb473d40eeafa198,10,2
39,0x2628040e7296117256d5879e2f1409752c122975,10,2
40,0x4fb79d3c8f6f3a383e35462714408144fad57f89,10,2
41,0xc3562524b715c3c830b1d484e7e6b2ecb311d267,10,2
42,0xead0575234bdf2fc4f86b6e4f11b4d92587964b0,10,2
43,0xf2369008053ca8e6fd7a0ccea3baf0915eff1149,10,2
44,0x4922e9c9d3cdcbe0ba272499ef025192da0c5d7a,9,2
45,0x4a214e160c753cbbd2df811593f069d357281d33,9,2
46,0xa7c85cddf4fa368ff5ecf52d21da58d98b397528,9,2
47,0xe6f723bc9a27d904aeaef3caf1c1caeb3eeeca40,9,2
48,0x01a18b4adbc7a0e19fcfbdf63e85ec6f3c9ce9e7,8,2
49,0x036d78c5e87e0aa07bf61815d1effe10c9fd5275,8,2
50,0x45b74ac8362d49685782c967ed4f24720a75035b,8,2
51,0x4832606179a3506f3e64c1b04dfbe3a13a55d0f1,8,2
52,0x4f542f65488b94ffe3fb6d86b92448223fbb14d1,8,2
53,0x4fc059636a6ad7faf5a2b672b6a941d4665f7239,8,2
54,0x5d81d3051ddd4e929c76bc572d4f1586c7b752ad,8,2
55,0x744f7102f2e8e82d5c61004f2fb5dbd2ca5f1d82,8,2
56,0x94ef56efad3cf722cd385bd6d5178c3063b83d1a,8,2
57,0x9b2a757144010d47740ecce394ef4779784fb55d,8,2
58,0xa9028c7a809488d6fe93e358ae0e9eb5d6cd88fa,8,2
59,0x12949f8eb38a5fa142bf2d21260768db96a3cd69,7,2
60,0x73a020eb0e9fee28fec92c7124f650d14e21ceee,7,2
61,0x8886dca35291f05ed5d8e21f083998ea8dceb50f,7,2
62,0xdcfc30125bdf514b7c434f9868783c7b48d7a3bc,7,2
63,0x010fdf27afe8ff560fafff04df26dbb0a23793b7,6,2
64,0x0457bdd7d70c82f4cb1c850bd49064a544630978,6,2
65,0x21bca401c280c8492a1ca15d554382eecb92f2f3,6,2
66,0x36662542a79e34730dadb416928b33ab8ac881e3,6,2
67,0x38b7ab594f4c89d69ae13e6bb6833a10d8a86995,6,2
68,0x5687875d748f53b792a54aae53dbb78bedbfe4fd,6,2
69,0xaf300ba8fc0678dadf4c98d51cec9d439d76ca47,6,2
70,0x2f64b9c5e4b24eef6c2003406302f0dd92ae9b56,5,2
71,0x328739e4901cd242072353ec377d72fb87eca876,5,2
72,0x3401c9bb4667fe2fa92641af55778e1524c52108,5,2
73,0x59957e6b58dd78e9d4ec60a144cc8531b8a5409d,5,2
74,0x5a8494d8df8abff6ee78e6cc08bdfe49f8483c3a,5,2
75,0x7df172e521125054caa01d73c4fb4d30360e1079,5,2
76,0x9d91afea53bff89c4fb734a78e78fcfc2aadb3d6,5,2
77,0xc5c99da7106e801e5597dd4e4f8f42ee462b67e2,5,2
78,0xdd0cdf8d98d9ad3adfaa49aaecd444bfa01d9c9a,5,2
79,0xe0d209b7324d982bacb757f724ebe00a9792ac28,5,2
80,0xefbdd138000a1974fc257214f837a8fb0fd04306,5,2
